level_0,0.11 to 0.14,0.24 to 0.3,0.35 to 0.54
a_loa,,,0.39164913024397063
a_suum,0.11297816522090583,,
b_malayi,,,0.3550670547626211
c_brenneri,,,0.4400650944164227
c_briggsae,,,0.385092176253903
c_elegans,,,0.376705961904034
c_inopinata,,,0.34778977394623145
c_japonica,,,0.5372121639629631
c_panamensis,,,0.3723769768401566
d_coronatus,,,0.4429268668407146
d_pachys,,,0.45096742145265284
o_tipulae,0.1429356478311879,,
o_volvulus,,,0.3632075366931424
p_arcanus,,,0.4295646631284261
p_entomophagus,,0.249042174687957,
p_japonicus,,,0.39211561189068517
p_mayer,,0.24364062889007704,
p_redivivus,,0.29983046693695375,
p_univalens,0.11748662350810941,,
s_digitata,,,0.4036582206625078
s_scapterisci,0.10876408968858776,,
