Orthogroup	c_elegans_ref_protein	c_quiockensis
OG0000000	SRC-1_ isoform b, SRC-1_ isoform a	CSP38.g149.t1 transcript=CSP38.g149.t1 gene=CSP38.g149
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d	CSP38.g3072.t2 transcript=CSP38.g3072.t2 gene=CSP38.g3072, CSP38.g3072.t6 transcript=CSP38.g3072.t6 gene=CSP38.g3072, CSP38.g3072.t4 transcript=CSP38.g3072.t4 gene=CSP38.g3072, CSP38.g3072.t1 transcript=CSP38.g3072.t1 gene=CSP38.g3072, CSP38.g3072.t5 transcript=CSP38.g3072.t5 gene=CSP38.g3072, CSP38.g3072.t3 transcript=CSP38.g3072.t3 gene=CSP38.g3072
OG0000006	NMY-2	CSP38.g21075.t1 transcript=CSP38.g21075.t1 gene=CSP38.g21075
OG0000239	CDC-42	CSP38.g16693.t1 transcript=CSP38.g16693.t1 gene=CSP38.g16693
OG0000300	PKC-3	CSP38.g3539.t1 transcript=CSP38.g3539.t1 gene=CSP38.g3539
OG0000446	ECT-2_ isoform a, ECT-2_ isoform b	CSP38.g6915.t2 transcript=CSP38.g6915.t2 gene=CSP38.g6915, CSP38.g6915.t4 transcript=CSP38.g6915.t4 gene=CSP38.g6915, CSP38.g6915.t1 transcript=CSP38.g6915.t1 gene=CSP38.g6915
OG0000457	NP_505119.1 Protein kinase domain-containing protein [Caenorhabditis elegans]	CSP38.g7676.t1 transcript=CSP38.g7676.t1 gene=CSP38.g7676
OG0000571	PAR-2_ isoform a, PAR-2_ isoform b	CSP38.g7237.t1 transcript=CSP38.g7237.t1 gene=CSP38.g7237
OG0000622	RHO-1_ isoform a	CSP38.g8670.t1 transcript=CSP38.g8670.t1 gene=CSP38.g8670
OG0000822	PAR-5_ isoform a	CSP38.g21956.t1 transcript=CSP38.g21956.t1 gene=CSP38.g21956
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	CSP38.g2806.t2 transcript=CSP38.g2806.t2 gene=CSP38.g2806, CSP38.g2806.t1 transcript=CSP38.g2806.t1 gene=CSP38.g2806
OG0000870	CYK-4	CSP38.g6328.t2 transcript=CSP38.g6328.t2 gene=CSP38.g6328, CSP38.g6328.t1 transcript=CSP38.g6328.t1 gene=CSP38.g6328
OG0002590	CDC-37_ isoform a, CDC-37_ isoform b	CSP38.g5338.t1 transcript=CSP38.g5338.t1 gene=CSP38.g5338
OG0002713	PAR-4_ isoform c, PAR-4_ isoform a, PAR-4_ isoform b	CSP38.g16014.t1 transcript=CSP38.g16014.t1 gene=CSP38.g16014
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	CSP38.g7823.t1 transcript=CSP38.g7823.t1 gene=CSP38.g7823
OG0006104	MES-1	CSP38.g18969.t1 transcript=CSP38.g18969.t1 gene=CSP38.g18969
OG0006648	LGL-1	CSP38.g10326.t1 transcript=CSP38.g10326.t1 gene=CSP38.g10326
OG0011556	GPR-2, GPR-1	CSP38.g5620.t1 transcript=CSP38.g5620.t1 gene=CSP38.g5620
