Orthogroup	c_elegans_ref_protein	w_bancrofti
OG0000000	SRC-1_ isoform b, SRC-1_ isoform a, SRC-1_ isoform c	maker-PairedContig_4250-snap-gene-2.17-mRNA-1 transcript=maker-PairedContig_4250-snap-gene-2.17-mRNA-1 gene=maker-PairedContig_4250-snap-gene-2.17, maker-PairedContig_2680-snap-gene-3.17-mRNA-1 transcript=maker-PairedContig_2680-snap-gene-3.17-mRNA-1 gene=maker-PairedContig_2680-snap-gene-3.17
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d, PAR-1_ isoform e	maker-PairedContig_5547-snap-gene-3.17-mRNA-1 transcript=maker-PairedContig_5547-snap-gene-3.17-mRNA-1 gene=maker-PairedContig_5547-snap-gene-3.17
OG0000239	CDC-42	maker-PairedContig_2377-snap-gene-1.24-mRNA-1 transcript=maker-PairedContig_2377-snap-gene-1.24-mRNA-1 gene=maker-PairedContig_2377-snap-gene-1.24, maker-PairedContig_3860-snap-gene-2.24-mRNA-1 transcript=maker-PairedContig_3860-snap-gene-2.24-mRNA-1 gene=maker-PairedContig_3860-snap-gene-2.24
OG0000300	PKC-3	maker-PairedContig_2615-snap-gene-0.6-mRNA-1 transcript=maker-PairedContig_2615-snap-gene-0.6-mRNA-1 gene=maker-PairedContig_2615-snap-gene-0.6
OG0000446	ECT-2_ isoform a, ECT-2_ isoform b	maker-PairedContig_6244-snap-gene-0.12-mRNA-1 transcript=maker-PairedContig_6244-snap-gene-0.12-mRNA-1 gene=maker-PairedContig_6244-snap-gene-0.12, maker-PairedContig_3060-snap-gene-0.13-mRNA-1 transcript=maker-PairedContig_3060-snap-gene-0.13-mRNA-1 gene=maker-PairedContig_3060-snap-gene-0.13, maker-PairedContig_6244-snap-gene-0.13-mRNA-1 transcript=maker-PairedContig_6244-snap-gene-0.13-mRNA-1 gene=maker-PairedContig_6244-snap-gene-0.13
OG0000457	NP_505119.1 Protein kinase domain-containing protein [Caenorhabditis elegans]	maker-PairedContig_1854-snap-gene-0.13-mRNA-1 transcript=maker-PairedContig_1854-snap-gene-0.13-mRNA-1 gene=maker-PairedContig_1854-snap-gene-0.13, maker-PairedContig_234-snap-gene-0.14-mRNA-1 transcript=maker-PairedContig_234-snap-gene-0.14-mRNA-1 gene=maker-PairedContig_234-snap-gene-0.14
OG0000571	PAR-2_ isoform c	maker-PairedContig_1976-snap-gene-0.9-mRNA-1 transcript=maker-PairedContig_1976-snap-gene-0.9-mRNA-1 gene=maker-PairedContig_1976-snap-gene-0.9
OG0000622	RHO-1_ isoform a	maker-PairedContig_1002-snap-gene-0.18-mRNA-1 transcript=maker-PairedContig_1002-snap-gene-0.18-mRNA-1 gene=maker-PairedContig_1002-snap-gene-0.18
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	maker-PairedContig_1433-snap-gene-0.6-mRNA-1 transcript=maker-PairedContig_1433-snap-gene-0.6-mRNA-1 gene=maker-PairedContig_1433-snap-gene-0.6
OG0002713	PAR-4_ isoform c, PAR-4_ isoform a, PAR-4_ isoform b	maker-PairedContig_4684-snap-gene-1.21-mRNA-1 transcript=maker-PairedContig_4684-snap-gene-1.21-mRNA-1 gene=maker-PairedContig_4684-snap-gene-1.21
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	maker-PairedContig_1260-snap-gene-4.26-mRNA-1 transcript=maker-PairedContig_1260-snap-gene-4.26-mRNA-1 gene=maker-PairedContig_1260-snap-gene-4.26
OG0006648	LGL-1	maker-PairedContig_268-snap-gene-1.24-mRNA-1 transcript=maker-PairedContig_268-snap-gene-1.24-mRNA-1 gene=maker-PairedContig_268-snap-gene-1.24
