Orthogroup	c_elegans_ref_protein	c_nigoni
OG0000000	SRC-1_ isoform b, SRC-1_ isoform a	"Cni-src-1.3	Cni-src-1.3	Cni-src-1, Cni-src-1.1	Cni-src-1.1	Cni-src-1"
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d	"Cni-par-1.1	Cni-par-1.1	Cni-par-1"
OG0000002	PAR-1_ isoform i, PAR-1_ isoform h	"Cni-par-1.2	Cni-par-1.2	Cni-par-1, Cni-par-1.3	Cni-par-1.3	Cni-par-1"
OG0000006	NMY-2	"Cni-nmy-2.1	Cni-nmy-2.1	Cni-nmy-2, Cni-nmy-2.2	Cni-nmy-2.2	Cni-nmy-2"
OG0000239	CDC-42	"Cnig_chr_II.g5392	Cnig_chr_II.g5392	Cnig_chr_II.g5392"
OG0000300	PKC-3	"Cni-pkc-3	Cni-pkc-3	Cni-pkc-3"
OG0000446	ECT-2_ isoform a, ECT-2_ isoform b	"Cni-ect-2	Cni-ect-2	Cni-ect-2"
OG0000457	NP_505119.1 Protein kinase domain-containing protein [Caenorhabditis elegans]	"Cni-air-1.2	Cni-air-1.2	Cni-air-1, Cni-air-1.1	Cni-air-1.1	Cni-air-1"
OG0000571	PAR-2_ isoform a	"Cnig_chr_III.g8483.3	Cnig_chr_III.g8483.3	Cnig_chr_III.g8483, Cnig_chr_III.g8483.1	Cnig_chr_III.g8483.1	Cnig_chr_III.g8483, Cnig_chr_III.g8483.2	Cnig_chr_III.g8483.2	Cnig_chr_III.g8483"
OG0000622	RHO-1_ isoform a	"Cnig_chr_IV.g12148	Cnig_chr_IV.g12148	Cnig_chr_IV.g12148"
OG0000822	PAR-5_ isoform a	"Cnig_chr_IV.g14091.1	Cnig_chr_IV.g14091.1	Cnig_chr_IV.g14091, Cnig_chr_IV.g14091.2	Cnig_chr_IV.g14091.2	Cnig_chr_IV.g14091, Cnig_chr_IV.g14091.3	Cnig_chr_IV.g14091.3	Cnig_chr_IV.g14091"
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	"Cni-par-3.2	Cni-par-3.2	Cni-par-3, Cni-par-3.3	Cni-par-3.3	Cni-par-3, Cni-par-3.1	Cni-par-3.1	Cni-par-3"
OG0000870	CYK-4	"Cni-cyk-4	Cni-cyk-4	Cni-cyk-4"
OG0002590	CDC-37_ isoform a, CDC-37_ isoform b	"Cni-cdc-37	Cni-cdc-37	Cni-cdc-37"
OG0002713	PAR-4_ isoform c, PAR-4_ isoform a, PAR-4_ isoform b	"Cni-par-4	Cni-par-4	Cni-par-4"
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	"Cni-par-6	Cni-par-6	Cni-par-6"
OG0006104	MES-1	"Cnig_chr_X.g22542.1	Cnig_chr_X.g22542.1	Cnig_chr_X.g22542, Cnig_chr_X.g22542.2	Cnig_chr_X.g22542.2	Cnig_chr_X.g22542, Cnig_chr_X.g22542.3	Cnig_chr_X.g22542.3	Cnig_chr_X.g22542"
OG0006648	LGL-1	"Cni-lgl-1.2	Cni-lgl-1.2	Cni-lgl-1, Cni-lgl-1.1	Cni-lgl-1.1	Cni-lgl-1"
OG0011556	GPR-2, GPR-1	"Cni-slc-17.2.1	Cni-slc-17.2.1	Cni-slc-17.2, Cni-slc-17.2.2	Cni-slc-17.2.2	Cni-slc-17.2"
