Orthogroup	c_elegans_ref_protein	c_latens
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d, PAR-1_ isoform e	FL83_21640.2 transcript=FL83_21640.2 gene=FL83_21640, FL83_21640.6 transcript=FL83_21640.6 gene=FL83_21640, FL83_21640.1 transcript=FL83_21640.1 gene=FL83_21640, FL83_21640.3 transcript=FL83_21640.3 gene=FL83_21640, FL83_21640.4 transcript=FL83_21640.4 gene=FL83_21640, FL83_21640.5 transcript=FL83_21640.5 gene=FL83_21640
OG0000006	NMY-2	FL83_10838 transcript=FL83_10838 gene=FL83_10838
OG0000239	CDC-42	FL83_09382 transcript=FL83_09382 gene=FL83_09382
OG0000300	PKC-3	FL83_06041 transcript=FL83_06041 gene=FL83_06041
OG0000446	ECT-2_ isoform a, ECT-2_ isoform b	FL83_17671 transcript=FL83_17671 gene=FL83_17671, FL83_04468 transcript=FL83_04468 gene=FL83_04468, FL83_04570 transcript=FL83_04570 gene=FL83_04570
OG0000457	NP_505119.1 Protein kinase domain-containing protein [Caenorhabditis elegans]	FL83_03624 transcript=FL83_03624 gene=FL83_03624
OG0000571	PAR-2_ isoform b	FL83_16777 transcript=FL83_16777 gene=FL83_16777
OG0000622	RHO-1_ isoform a	FL83_05554 transcript=FL83_05554 gene=FL83_05554
OG0000822	PAR-5_ isoform a	FL83_04917.1 transcript=FL83_04917.1 gene=FL83_04917, FL83_04917.2 transcript=FL83_04917.2 gene=FL83_04917
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	FL83_18506.2 transcript=FL83_18506.2 gene=FL83_18506, FL83_18506.1 transcript=FL83_18506.1 gene=FL83_18506
OG0000870	CYK-4	FL83_11503 transcript=FL83_11503 gene=FL83_11503
OG0002590	CDC-37_ isoform a, CDC-37_ isoform b	FL83_15749 transcript=FL83_15749 gene=FL83_15749
OG0002713	PAR-4_ isoform c, PAR-4_ isoform a, PAR-4_ isoform b	FL83_22148 transcript=FL83_22148 gene=FL83_22148
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	FL83_09223 transcript=FL83_09223 gene=FL83_09223
OG0006104	MES-1	FL83_02296 transcript=FL83_02296 gene=FL83_02296
OG0006648	LGL-1	FL83_03190 transcript=FL83_03190 gene=FL83_03190
OG0011556	GPR-2, GPR-1	FL83_07424 transcript=FL83_07424 gene=FL83_07424
