Orthogroup	c_elegans_ref_protein	p_japonicus
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d, PAR-1_ isoform e	japonicus-mkr-S47-12.46-mRNA-1 transcript=japonicus-mkr-S47-12.46-mRNA-1 gene=japonicus-mkr-S47-12.46-mRNA-1
OG0000006	NMY-2	japonicus-mkr-S163-2.16-mRNA-1 transcript=japonicus-mkr-S163-2.16-mRNA-1 gene=japonicus-mkr-S163-2.16-mRNA-1
OG0000239	CDC-42	japonicus-mkr-S154-1.13-mRNA-1 transcript=japonicus-mkr-S154-1.13-mRNA-1 gene=japonicus-mkr-S154-1.13-mRNA-1
OG0000300	PKC-3	japonicus-mkr-S130-5.71-mRNA-1 transcript=japonicus-mkr-S130-5.71-mRNA-1 gene=japonicus-mkr-S130-5.71-mRNA-1
OG0000457	NP_505119.1 Protein kinase domain-containing protein [Caenorhabditis elegans]	japonicus-ag_msk-S5-5.36-mRNA-1 transcript=japonicus-ag_msk-S5-5.36-mRNA-1 gene=japonicus-ag_msk-S5-5.36-mRNA-1
OG0000622	RHO-1_ isoform a	japonicus-mkr-S3-5.41-mRNA-1 transcript=japonicus-mkr-S3-5.41-mRNA-1 gene=japonicus-mkr-S3-5.41-mRNA-1
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	japonicus-mkr-S48-1.42-mRNA-1 transcript=japonicus-mkr-S48-1.42-mRNA-1 gene=japonicus-mkr-S48-1.42-mRNA-1
OG0000870	CYK-4	japonicus-sn_msk-S132-1.17-mRNA-1 transcript=japonicus-sn_msk-S132-1.17-mRNA-1 gene=japonicus-sn_msk-S132-1.17-mRNA-1
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	japonicus-mkr-S403-0.3-mRNA-1 transcript=japonicus-mkr-S403-0.3-mRNA-1 gene=japonicus-mkr-S403-0.3-mRNA-1
OG0006104	MES-1	japonicus-mkr-S88-7.27-mRNA-1 transcript=japonicus-mkr-S88-7.27-mRNA-1 gene=japonicus-mkr-S88-7.27-mRNA-1
OG0006648	LGL-1	japonicus-mkr-S19-3.45-mRNA-1 transcript=japonicus-mkr-S19-3.45-mRNA-1 gene=japonicus-mkr-S19-3.45-mRNA-1
