Orthogroup	c_elegans_ref_protein	c_zanzibari
OG0000000	SRC-1_ isoform b, SRC-1_ isoform a	CSP26.g582.t1 transcript=CSP26.g582.t1 gene=CSP26.g582
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d	CSP26.g6511.t3 transcript=CSP26.g6511.t3 gene=CSP26.g6511, CSP26.g6511.t2 transcript=CSP26.g6511.t2 gene=CSP26.g6511, CSP26.g6511.t1 transcript=CSP26.g6511.t1 gene=CSP26.g6511
OG0000006	NMY-2	CSP26.g6042.t1 transcript=CSP26.g6042.t1 gene=CSP26.g6042
OG0000239	CDC-42	CSP26.g6884.t1 transcript=CSP26.g6884.t1 gene=CSP26.g6884
OG0000300	PKC-3	CSP26.g9063.t1 transcript=CSP26.g9063.t1 gene=CSP26.g9063
OG0000446	ECT-2_ isoform a, ECT-2_ isoform b	CSP26.g1689.t1 transcript=CSP26.g1689.t1 gene=CSP26.g1689
OG0000457	NP_505119.1 Protein kinase domain-containing protein [Caenorhabditis elegans]	CSP26.g17600.t1 transcript=CSP26.g17600.t1 gene=CSP26.g17600
OG0000571	PAR-2_ isoform b	CSP26.g3451.t1 transcript=CSP26.g3451.t1 gene=CSP26.g3451
OG0000622	RHO-1_ isoform a	CSP26.g4698.t1 transcript=CSP26.g4698.t1 gene=CSP26.g4698
OG0000822	PAR-5_ isoform a	CSP26.g5326.t1 transcript=CSP26.g5326.t1 gene=CSP26.g5326
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	CSP26.g13790.t3 transcript=CSP26.g13790.t3 gene=CSP26.g13790, CSP26.g13790.t1 transcript=CSP26.g13790.t1 gene=CSP26.g13790, CSP26.g13790.t2 transcript=CSP26.g13790.t2 gene=CSP26.g13790
OG0000870	CYK-4	CSP26.g14464.t1 transcript=CSP26.g14464.t1 gene=CSP26.g14464
OG0002590	CDC-37_ isoform a, CDC-37_ isoform b	CSP26.g8108.t1 transcript=CSP26.g8108.t1 gene=CSP26.g8108
OG0002713	PAR-4_ isoform c, PAR-4_ isoform a, PAR-4_ isoform b	CSP26.g2394.t1 transcript=CSP26.g2394.t1 gene=CSP26.g2394
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	CSP26.g15395.t1 transcript=CSP26.g15395.t1 gene=CSP26.g15395
OG0006104	MES-1	CSP26.g184.t1 transcript=CSP26.g184.t1 gene=CSP26.g184
OG0006648	LGL-1	CSP26.g14203.t1 transcript=CSP26.g14203.t1 gene=CSP26.g14203
OG0011556	GPR-2, GPR-1	CSP26.g5714.t1 transcript=CSP26.g5714.t1 gene=CSP26.g5714
