Orthogroup	c_elegans_ref_protein	a_nanus
OG0000000	SRC-1_ isoform b, SRC-1_ isoform a, SRC-1_ isoform c	ACRNAN_scaffold4779.g32268.t1 transcript=ACRNAN_scaffold4779.g32268.t1 gene=ACRNAN_scaffold4779.g32268, ACRNAN_scaffold4779.g32267.t1 transcript=ACRNAN_scaffold4779.g32267.t1 gene=ACRNAN_scaffold4779.g32267
OG0000002	PAR-1_ isoform c, PAR-1_ isoform g, PAR-1_ isoform f, PAR-1_ isoform j, PAR-1_ isoform a, PAR-1_ isoform b, PAR-1_ isoform d, PAR-1_ isoform e	ACRNAN_scaffold6540.g19692.t1 transcript=ACRNAN_scaffold6540.g19692.t1 gene=ACRNAN_scaffold6540.g19692, ACRNAN_scaffold6540.g19692.t2 transcript=ACRNAN_scaffold6540.g19692.t2 gene=ACRNAN_scaffold6540.g19692, ACRNAN_scaffold4601.g23095.t1 transcript=ACRNAN_scaffold4601.g23095.t1 gene=ACRNAN_scaffold4601.g23095
OG0000002	PAR-1_ isoform i, PAR-1_ isoform h	ACRNAN_scaffold489.g19820.t1 transcript=ACRNAN_scaffold489.g19820.t1 gene=ACRNAN_scaffold489.g19820, ACRNAN_scaffold489.g19820.t2 transcript=ACRNAN_scaffold489.g19820.t2 gene=ACRNAN_scaffold489.g19820
OG0000239	CDC-42	ACRNAN_scaffold943.g27460.t1 transcript=ACRNAN_scaffold943.g27460.t1 gene=ACRNAN_scaffold943.g27460
OG0000300	PKC-3	ACRNAN_scaffold4537.g21588.t1 transcript=ACRNAN_scaffold4537.g21588.t1 gene=ACRNAN_scaffold4537.g21588
OG0000571	PAR-2_ isoform c	ACRNAN_scaffold7068.g11000.t1 transcript=ACRNAN_scaffold7068.g11000.t1 gene=ACRNAN_scaffold7068.g11000
OG0000622	RHO-1_ isoform a	ACRNAN_scaffold9771.g23479.t1 transcript=ACRNAN_scaffold9771.g23479.t1 gene=ACRNAN_scaffold9771.g23479, ACRNAN_scaffold6182.g19213.t1 transcript=ACRNAN_scaffold6182.g19213.t1 gene=ACRNAN_scaffold6182.g19213
OG0000822	PAR-5_ isoform a	ACRNAN_scaffold2537.g21946.t1 transcript=ACRNAN_scaffold2537.g21946.t1 gene=ACRNAN_scaffold2537.g21946, ACRNAN_Path_1560.g6072.t1 transcript=ACRNAN_Path_1560.g6072.t1 gene=ACRNAN_Path_1560.g6072, ACRNAN_scaffold353.g24836.t1 transcript=ACRNAN_scaffold353.g24836.t1 gene=ACRNAN_scaffold353.g24836, ACRNAN_scaffold17551.g26902.t1 transcript=ACRNAN_scaffold17551.g26902.t1 gene=ACRNAN_scaffold17551.g26902, ACRNAN_Path_147.g522.t1 transcript=ACRNAN_Path_147.g522.t1 gene=ACRNAN_Path_147.g522, ACRNAN_scaffold19841.g24595.t1 transcript=ACRNAN_scaffold19841.g24595.t1 gene=ACRNAN_scaffold19841.g24595
OG0000834	PAR-3_ isoform h, PAR-3_ isoform e, PAR-3_ isoform d, PAR-3_ isoform i, PAR-3_ isoform a, PAR-3_ isoform b, PAR-3_ isoform f, PAR-3_ isoform g, PAR-3_ isoform c, PAR-3_ isoform j	ACRNAN_scaffold7296.g19297.t2 transcript=ACRNAN_scaffold7296.g19297.t2 gene=ACRNAN_scaffold7296.g19297, ACRNAN_scaffold7296.g19297.t1 transcript=ACRNAN_scaffold7296.g19297.t1 gene=ACRNAN_scaffold7296.g19297, ACRNAN_scaffold18822.g6401.t1 transcript=ACRNAN_scaffold18822.g6401.t1 gene=ACRNAN_scaffold18822.g6401
OG0002713	PAR-4_ isoform c, PAR-4_ isoform a, PAR-4_ isoform b	ACRNAN_scaffold1694.g32816.t1 transcript=ACRNAN_scaffold1694.g32816.t1 gene=ACRNAN_scaffold1694.g32816
OG0002813	PAR-6_ isoform a, PAR-6_ isoform b	ACRNAN_scaffold284.g32481.t1 transcript=ACRNAN_scaffold284.g32481.t1 gene=ACRNAN_scaffold284.g32481
OG0006648	LGL-1	ACRNAN_Path_749.g2844.t1 transcript=ACRNAN_Path_749.g2844.t1 gene=ACRNAN_Path_749.g2844
